#{"t_start": 1702839456.6788507, "env_id": "None"}
r,l,t
0.176524,333,5.733715
1.57167,1001,17.909693
1.604687,1001,30.129633
1.793807,1001,42.299598
1.487307,1001,54.434585
0.550158,1001,66.579565
1.249351,689,75.265557
2.17442,1001,87.437509
0.631339,1001,99.57151
1.231581,1001,111.770461
1.037441,1001,124.659998
0.70822,1001,160.881066
1.186681,1001,196.903249
0.025902,149,202.847814
0.01121,49,205.284406
-0.636536,241,214.499081
0.057111,69,217.616279
-0.783273,174,225.056979
-0.029915,20,226.449175
-0.012396,19,227.814386
-0.049362,19,229.168603
0.019503,67,232.237829
0.046765,68,235.322047
-0.394099,168,241.967207
-0.068624,73,245.742026
-0.052793,22,247.288132
0.386431,85,251.004984
0.032292,383,265.345697
-0.189356,62,268.483883
-0.221502,175,275.412879
-0.832283,163,281.937109
0.216133,191,289.421784
-0.252282,89,293.274558
0.020052,70,296.647609
0.26924,185,303.956384
0.096144,73,307.241486
0.814234,551,328.230357
0.476656,135,333.715187
1.60668,325,345.950117
2.101492,632,369.039774
2.58069,744,396.399962
5.528184,1001,432.757951
3.804455,1001,469.216882
2.946291,1001,505.26405
0.538713,1001,541.389174
-1.405509,1001,577.40736
-1.838426,1001,613.409555
-2.472543,1001,649.411749
-3.138833,1001,685.375966
-0.865235,124,690.44004
-0.625288,102,694.71257
-4.583375,1001,730.727757
-0.388046,60,733.514148
-2.299314,804,762.537375
0.488464,170,769.204522
1.893744,1001,805.214712
3.195491,1001,841.150945
6.113091,853,871.891181
4.548708,796,900.526633
7.260258,882,932.884933
8.523241,1001,968.971079
1.143938,266,979.048256
1.129302,180,986.072196
4.653915,632,1008.999947
0.130841,110,1013.56231
0.832605,148,1019.459902
0.43503,230,1028.226836
-0.082,88,1032.005652
0.583839,89,1035.830442
-0.032146,50,1038.268034
0.288626,98,1042.392649
0.312907,128,1047.664603
0.387831,79,1051.143593
-0.018122,38,1053.169422
0.728316,130,1058.464362
0.236608,90,1062.312138
0.626117,121,1067.269274
-0.178067,293,1078.261921
0.846838,430,1094.043801
0.72244,715,1119.895861
-0.289345,914,1152.693908
-2.364652,1001,1188.878997
-3.798309,1001,1224.753265
-4.312364,1001,1260.623536
-1.34351,477,1278.056462
-0.052455,110,1282.615827
-0.085742,65,1285.584111
-0.206365,70,1288.717301
-3.088545,949,1322.688669
0.094861,84,1326.303581
-2.666266,498,1344.808887
-0.390317,519,1363.793916
0.832002,868,1394.957906
0.551518,226,1403.617901
-0.161006,1001,1439.400223
3.604173,1001,1475.266496
1.262972,557,1495.485812
-0.054969,78,1498.91483
5.872758,1001,1535.157886
5.607096,1001,1570.98818
2.641349,574,1592.472764
4.693454,1001,1628.30006
0.833214,226,1636.916081
2.600175,1001,1673.297056
